DATE,GBPUSD
08/02/13,1.5814
11/02/13,1.5668
12/02/13,1.5654
13/02/13,1.5544
14/02/13,1.5502
15/02/13,1.5518
18/02/13,.
19/02/13,1.5432
20/02/13,1.5301
21/02/13,1.5263
22/02/13,1.5256
25/02/13,1.5112
26/02/13,1.5125
27/02/13,1.5134
28/02/13,1.5192
01/03/13,1.5033
04/03/13,1.5084
05/03/13,1.5098
06/03/13,1.5036
07/03/13,1.5032
08/03/13,1.4926
11/03/13,1.4898
12/03/13,1.4877
13/03/13,1.4925
14/03/13,1.5039
15/03/13,1.5124
18/03/13,1.5113
19/03/13,1.5118
20/03/13,1.5133
21/03/13,1.518
22/03/13,1.5239
25/03/13,1.5184
26/03/13,1.5156
27/03/13,1.5112
28/03/13,1.5184
29/03/13,1.5193
01/04/13,1.5232
02/04/13,1.5113
03/04/13,1.514
04/04/13,1.5198
05/04/13,1.5336
08/04/13,1.5257
09/04/13,1.5317
10/04/13,1.5315
11/04/13,1.5403
12/04/13,1.5373
15/04/13,1.532
16/04/13,1.5316
17/04/13,1.5255
18/04/13,1.5282
19/04/13,1.5254
22/04/13,1.5262
23/04/13,1.5267
24/04/13,1.5258
25/04/13,1.5434
26/04/13,1.5479
29/04/13,1.5497
30/04/13,1.5539
01/05/13,1.5578
02/05/13,1.5519
03/05/13,1.5563
06/05/13,1.5538
07/05/13,1.5468
08/05/13,1.5563
09/05/13,1.5502
10/05/13,1.5334
13/05/13,1.5291
14/05/13,1.5258
15/05/13,1.5198
16/05/13,1.5302
17/05/13,1.5173
20/05/13,1.5223
21/05/13,1.517
22/05/13,1.5038
23/05/13,1.512
24/05/13,1.5126
27/05/13,.
28/05/13,1.5061
29/05/13,1.5121
30/05/13,1.5207
31/05/13,1.5185
03/06/13,1.5349
04/06/13,1.5304
05/06/13,1.5392
06/06/13,1.5601
07/06/13,1.5558
10/06/13,1.5556
11/06/13,1.5587
12/06/13,1.5697
13/06/13,1.5698
14/06/13,1.5686
17/06/13,1.5709
18/06/13,1.5625
